annotation_id,contexte_avant,texte,contexte_apres,label,confiance_1_3,notes
M0451,,"Yes, thank you, Doctor.","I beg your pardon, epi-zoo-tics? Do you mean ""epi-zoo-ot-tics,"" an animal epidemic?",,,
M0452,,I got my things over at the hotel. I'll bring them over later...  Come here.,I'm not sure... I don't know.,,,
M0453,"Well, I'm hardly Mrs. Leslie Carter whoever she was. In fact, I'm not even much of a success around here particularly after the backfire on Jerry's little publicity stunt with the leopard.",That was unfortunate.,That was a calamity!,,,
M0454,"Oh, by the way -- I'm out of cash --",Didn't you take your cut out of the closing check?,I got into a little crap game.,,,
M0455,,You're having a good time....,I am.,,,
M0456,In the room?,In the world.,,,,
M0457,So you're not even gonna bother to find out if the rabbit's gettin' framed?,He's a Toon... who cares?,,,,
M0458,"Baxter, you're not reading me. I told you I have plans.",So do I -- I'm going to take four aspirins and get into bed -- so you better give the tickets to somebody else --,"I'm not just giving those tickets, Baxter -- I want to swap them.",,,
M0459,"Well that's lovely talk, that is. And another thing, why aren't you at school?",I'm a deserter.,Are you now?,,,
M0460,,I wish that doctor'd come.  How do you feel?,He'll be here.  Give him time to get his trousers on.  Where's Asta?  Asta!  Asta!,,,
M0461,I'll give it back to you ....  all I've got ....twenty-five thousand...,You're going to return every cent of it!,I can't! I haven't got it!,,,
M0462,"I don't know what I was thinking, but I can't do it.",What are you talking about?,Kill someone.  I can't do it.,,,
M0463,It's a novel.,Still.  Well.  Let's drop it.,Yes.,,,
M0464,,Then I'll see you later.,Okay. In a few minutes.,,,
M0465,Next time I get a vacation I'll spend it at headquarters. Good-night.,He's a swell person. He told me he'd rather turn one guy straight than jug a million.,,,,
M0466,,What is it? Has he found him?,"Do you know where he's living?  Oh....  Well, at least I'm glad he's all right.  Thank you for calling. Goodbye.",,,
M0467,"The man's the same, even if the name isn't.","No -- he's not the same. Alexander Dyle was interested in clearing up his brother's death. Adam Canfield is a crook. And with all the advantages you've got -- brains, charm, education, a handsome face --",,,,
M0468,,"Come on, Doolittle, give it a name.",Fred.,,,
M0469,Good. It's better if it were absurd. That would mean nothing much can be done about it.,"But just think -- the very same things you had said to her who knows how many times... maybe even just before we left, while I was waiting outside your place...","So, even if I did say them, I was sincere with her, as I am now with you.",,,
M0470,"Yeah, found one in this supermarket, keys in the ignition.","Well, how far didya get?","Fat mile'n a half. Hit this red light, highway patrol pulls up alongside.",,,
M0471,Nothing has occurred recently to shake my confidence.,I have heard of the arrogant male in capitalistic society. It is having a superior earning power that makes you like that.,A Russian! I love Russians! Comrade... I have been fascinated by your Five- Year Plan for the past fifteen years!,,,
M0472,Don't then have stars where you come from?,Not like this... They don't seem so bright with all the city lights.  I never really noticed them much...,,,,
M0473,Got a nice evening dress?,I've got a lulu -- why?,"I'm going to give a party, and invite all of the suspects.",,,
M0474,"San Francisco. An oasis of civilization in the California desert. Tell me, do you share my high opinion of San Francisco?",Yes. I do.,And that memorable night when Margo first dazzled you from the stage - which theater was it in San Francisco? Was it - the Shubert?,,,
M0475,,You don't need to do that.,I don't mind...,,,
M0476,What?,Where you lived with them.,,,,
M0477,I know.,"I mean... Gretchen... She won't even let me kiss her. She says because it's our first kiss... she's, like, waiting for this big... moment or something. I just don't get it. I just want to get it over with so we can move on to the good stuff.",The good stuff.,,,
M0478,That doesn't hurt.,But sometimes I cried a lot too.,I didn't. I just waited.,,,
M0479,"Yeah, you ain't half so bad looking for a head nurse.","Yes. Now go along, Mister McMurphy. Go along.","Yes, ma'am.  Lead the way, Sam.",,,
M0480,Certainly a new experience for me.,"Wonderful! Try something new each day. After all, we're given life to find it out. It doesn't last forever.",,,,
M0481,"That's what they think... Guild and all of them.  They take it for granted that it's just another of Wynant's victims.  Guild's hot-footing it around now, looking for Wynant. That's all that troubles him.",What makes you so sure it's Wynant's body?,"Several things.  Hello, Fred.  We're hungry again. Yeah, and lots of onions.  Oh, and coffee.",,,
M0482,I've got a present. Shut your eyes. Keep 'em closed. I know you're going to love them.,"Little - couldn't be an automobile, could it?  Well, well! Ain't that nice!",,,,
M0483,"Well, here it's half.","What if I don't pay ya, Bert?","You don't pay me? You gonna get your thumbs broken.  And your fingers. And if I want them to, your right arm in three or four places.",,,
M0484,,"You look much taller on television, Mr. President.","... Oh, really...",,,
M0485,I tell you -- he didn't do it.,They'll want more than your word for that.,"All right, then -- I'll tell them who did do it!",,,
M0486,"I should pass, but I'll trail along--I'll take three.",I'll bet a couple of hundred.,,,,
M0487,And some man will lose his.,Isn't there anyone in the neighborhood who might cast an eye in her direction?,"Well, the salesman could be available soon.",,,
M0488,What's the matter?,Casy! What you doin' here?,"Well, if it ain't Tom Joad. How ya, boy?",,,
M0489,If you'll just listen to me for a minute --,Okay. I'm sorry.,I saw my lawyer this morning -- I wanted his advice  -- about the best way to handle it --,,,
M0490,"WHAT?! We follow you for a year, and now that our blood's been spilled, you're gonna quit?!",Who's next? You? Me? Bob?,,,,
M0491,Sh-sh-sh-she m-m-made m-m-me do it!,"Billy, that girl couldn't have pulled you in there forcibly...",Sh-sh-she did! Everybody did!,,,
M0492,Hattie is a different person now.,"I don't make no bones about where I'm going to spend eternity. I have always been wild and you know that. If you are made to feel half a man, what do you think the other half is?",I'm glad you brought that up as to who you are. I have to know who is in my house.,,,
M0493,,A time will come when you'll thank me for this.,I won't thank you! I'll never thank you!,,,
M0494,"Come on, Drag. Lemme take a look.",It'd go to your coconut head. You'd start getting ideas. Maybe even pass right out.,,,,
M0495,Oh.,"But I see, she didn't mean old in years. You always carry an umbrella, Bruce?","Well, er -- it looked a little cloudy this morning.",,,
M0496,,You know - we do have enough money. Especially now.,"Sure, baby. 'Fact, I don't ever have to work no more. When that baby comes, I can just stay home and send you back to school. How about that?",,,
M0497,You did?,"Well, maybe not exactly -- I tried to do it with a gun.",Over a girl?,,,
M0498,The number's unlisted...,Would you relax? We've been dating three months. He ain't stalking your butt.,"Okay, okay. You're right.",,,
M0499,"Major, I don't see how this line of questioning could...","David, what are you Counsel for the Defence now?  Did you hear the question?",,,,
M0500,"This is the manuscript in which the friar chronicled the Knight's story... it doesn't reveal on location of the Grail, I'm afraid... but the Knight promised that two ""markers"" that had been left behind would.  This Tablet is one of those ""markers."" It proves the Knight's story is true. But as you pointed out -- it's incomplete.  Now, the second ""marker"" is entombed with the Knight's dead brother. Our project leader believes that tomb to be located within the city of Venice, Italy.  As you can now see, Doctor Jones, we're about to complete a great quest that began almost two thousand years ago. We're only one step away.",That's usually when the ground falls out from underneath your feet.,You could be more right than you know.,,,
M0501,Is that how you came to shoot the policeman?,"Sure. You see, I'd never had a gun in my hand before and I didn't know what to do with it. Well, when I get stuck, I know that there's an answer for everything in production for use. So it came to me in a flash: what's a gun for? To shoot! So I shot. Simple isn't it?","Very simple, Earl.",,,
M0502,,Well why do you -- why do you think that?,Because I know you don't drive around for twelve hours.,,,
M0503,Do you remember where you were on the night of Paul's disappearance?  Which was on the twentieth of December?,God...I guess...I was probably returning videotapes.,,,,
M0504,Would you mind?,Okay. You win.,"If you change your mind about the cocktail party, or anything else, give me a buzz.",,,
M0505,I guess.,"Oh, Rob.  What do you want me to say?","I want you to say that you haven't, and I want it to be the truth.",,,
M0506,,That Foley looks like he's been through a war or two.,I've seen better.,,,
M0507,Didn't you see the lovebirds?,You came all the way up here to bring me those birds?,"To bring your sister those birds. You said it was her birthday. Besides, I was coming up anyway.",,,
M0508,,My mother would die.,Let's shut up and not kill her.,,,
M0509,You could?,"Do you care, Jimmy?",Sure I do.,,,
M0510,,"All right, I'll see you!",Where you going?,,,
M0511,Wait a second--,"Ah, I can smell it on you.",,,,
M0512,Sure.  He was trying to make us his family.,They're killing him!,,,,
M0513,What?,Will you smile?,Why?,,,
M0514,You won't have to.,Well... you don't look very much like Jack the Ripper...,,,,
M0515,...this is a snappy song....,What'd ya think?,,,,
M0516,"Look, Ma!",Thank God!  An' we're still together-- most of us.,Didn' you get no sleep?,,,
M0517,Kiss me and I'll tell you.,Tell me and I'll kiss you.,Freeze has turned the new telescope into a freezing gun.  He's about to turn Gotham into an ice cube.,,,
M0518,,Where are you going?,I'm just leaving.,,,
M0519,Money -- Ever heard of it?,Yes -- yes indeed -- but you are a...  ...a stenographer. Don't little stenographers earn little pennies?,Very little.,,,
M0520,Saddest thing I ever heard.,"Not at all.  It taught me a little sense.  I got me a job in the mail room, worked up to the Stenographic. Now I'm a reader...","Come clean, Betty.  At night you weep for those lost closeups, those gala openings...",,,
M0521,It's beautiful.,A little dusty.,,,,
M0522,,Time to change numbers again?,Nah...I think it'll die off. It's opening weekend. Let's see how it goes.,,,
M0523,,Is that anything?,Thanks just the same.,,,
M0524,I'd say my game is about twenty per cent off. Maybe more.,What happened? Somebody step on your hands?,Yeah. Big creep. Broke my thumbs.,,,
M0525,Meaning?,"Every night, Penelope, for the past two years, I've made it a point to walk through the park at midnight.",Why would you do that?,,,
M0526,What if I reached a point where you didn't think I was crazy anymore?  If I was normal.,If you were eating Kentucky Fried Chicken and drinking Coca-Cola again.,"Yeah...  Would you, I mean, could you love me then?  If I was normal.  Maybe?",,,
M0527,Where is everybody?,It's early yet.,"It's nearly a quarter after four. The party was for four, wasn't it?",,,
M0528,Yeah.  Why not?,"You break your leg, I'll have to shoot you.",,,,
M0529,"Oh, they'll come.  I'll have Guild issue the invitations.",Who do you think did it?,Mimi...,,,
M0530,Peter Finch -- he's English.,I never heard of him. Name somebody else.,Ryan O'Neal.,,,
M0531,Like all the rest of us.  Has this fellow...  ...has he seen the whole family?,And he still wants to marry me!,He's a brave man.,,,
M0532,,"Hey, where'd this come from?",I found it.,,,
M0533,No.  I don't even know why I do it.,Do you think you can get back at your Dad that way?  I mean sometimes if we can't get as close to somebody as we'd like we have to try making them jealous--so they'll have to pay attention.  Did you ever think of that?,I'll never get close to anybody.,,,
M0534,I was upstairs!,I never saw you --,,,,
M0535,Especially not Miss Kubelik.,How's that again?,No key!,,,
M0536,I guess we'll just have to kill her.,Kill her later.  We've got work to do.,,,,
M0537,,"Darn clever, these Armenians.","Yeah. Yeah, it's a gift.",,,
M0538,"Now, go into second.  Little more gas... Yeah!  You can get  this whole problem.  Now, maybe you downshift to first?",This is so noble.,"Well no, it's not noble, but it's a good aid to your lesson.",,,
M0539,Can I sit down?,Why not? We already know each other's secrets.,"Thanks for the, uh, for the breakfast.",,,
M0540,"Forget it, Ma. I got her figgered out. Long as I keep outa trouble, ain't nobody gonna say a thing. All I gotta do is keep my nose clean.",Maybe they got crimes in California we don't know about. Crimes we don't even know *is* crimes.,"Forget it, Ma. Jus' think about the nice things out there. Think about them grapes and oranges--an' ever'body got work--",,,
M0541,"I I was just on my way up, Johnny.",By way of Chicago?,,,,
M0542,"A missionary's widow?  It isn't very likely, is it?","I don't mean believe, like believing in a religion.  I mean, do you believe it has power?  Do you think it could heal a sick person?","Frankly, my dear, I didn't expect anything like this from a nice level-headed girl.  What are you driving at?",,,
M0543,"It's too late for me. And besides... who'd look after her? She'd be alone up there, the fire would go out... damp and cold, like a grave. When you love someone, you don't do that to them, even if you hate them. Oh, I don't hate her.  I hate... what she's become. I hate... the illness.",Wouldn't it be better if you put her in... someplace...,,,,
M0544,What do you mean?,"Well, when I first came to Washington, my eyes were big, blue question marks-- now they're big, green dollar marks--",I see. All right. You finish this job properly--and you get a handsome bonus besides--,,,
M0545,Is your brother ready to go?,"Oh... yeah, he already left. We'll wait inside, come on.",He left!,,,
M0546,,You'd better sit here and keep warm while I go for help.,But where will you go?  We're in the middle of nowhere.,,,
M0547,,"Oh, Mom's okay. They're just givin' her a ride back. She almost blew outta the back of Loretta's pick-up on the way over.",Thank God for bunge cords.,,,
M0548,,Promise you won't laugh.,If it's funny I'm going to laugh.,,,
M0549,"The way things turned out, I don't need to tell you - Miss Emily Norton was no rosebud!","It didn't end very well, did it?","It ended -  Then there was Susie - that ended, too.  I guess he didn't make her very happy -  You know, I was thinking - that Rosebud you're trying to find out about -",,,
M0550,Yeah. I got a letter from Aunt Betty. She says if we don't stop over at Wilkes-Barre she'll never forgive us.,What are you talking about?,,,,
M0551,"It's okay with me, baby. But how' you goin' to like it?",It'll be fine when we get done with it.,,,,
M0552,What are you doing out here alone?,Everybody's dead. I just wanna go home.,Oh no you can't. I've just been there. That's the first place he'll look for you. Where's the school house? Where is the school house?,,,
M0553,What is it? Has he fainted?,It looks like it.  Smell those fumes?,,,,
M0554,,Jesus. We've been at this for six months.,I know.,,,
M0555,Yep.  I forgot about him cussin' out everybody.  Damn that was fun.,"I know, we had a good time.  But ever since you guys moved out here, it seems like we've lost touch.","I know; this a long way from Watts.  But what I like about living out here is that you don't hear no helicopters, no sirens, no drive-by's, no nothing.  Just peace and quiet.  Listen.",,,
M0556,Why should he - and why should you?,"Bill's in love with Margo Channing. He's fought with her, worked with her, loved her... but ten years from now - Margo Channing will have ceased to exist. And what's left will be... what?",Margo. Bill is all of eight years younger than you.,,,
M0557,Can't keep his eyes off my legs.,Like a nylon lemon peel-,Byron couldn't have said it more graciously... here we go-,,,
M0558,Yes --,So did I. He was friendly to me as no man ever was.,Perhaps he really was a burglar -- But they don't kill a man for that.,,,
M0559,"Huh? Try and find a raincoat in Brazil. Even when it isn't raining  Lisa, on this job you carry one suitcase. Your home is the available transportation. You sleep rarely, bathe even less, and sometime the food you even look at when they were alive!","Jeff, you don't have to be deliberately repulsive just to impress me I'm wrong.","If anything, I'm making it sound good.  Let's face it, Lisa... you aren't made for that kind of a life. Few people are.",,,
M0560,"I didn't think you did.  If you had, I wouldn't have asked you again, because I'd have remembered. How old?",Pretty old.  I'll be twenty-two in August.,That's a ripe old age -  What do you do?,,,
M0561,,He didn't do anything. He just told me his theory... It's sad when patients get like that. They loose reality.,Jeremy what the hell are you doing?,,,
M0562,,Ben.  God doesn't like visitors.,How do you know?,,,
M0563,,You see where it's coming in?,Somewhere behind this panel.  Hold this.,,,
M0564,And if I didn't <u>know</u> better - I'd swear we were moving!,"Let's get back to work, and maybe we <u>will</u> be, soon.",,,,
M0565,"Then maybe it isn't different at all. You know, her attitude nearly drove me crazy. I simply couldn't understand it.",When I got back to San Francisco I spent days trying to figure out just what I'd done to displease her.,And what had you done?,,,
M0566,Right from the start we didn't do it right. Could you kneel down?,On the floor?,"Yes, on the floor.",,,
M0567,I'd like to see your friend's face when we tell him. He doesn't sound like much of a detective.,"Don't be too hard on him. He's a steady worker. I wish he'd get there, though.",Don't rush me. We have all night.,,,
M0568,"Eve...  ... by any chance, did you place a call from me to Bill for midnight California time?","Oh, golly. And I forgot to tell you-","Yes, dear. You forgot all about it.",,,
M0569,K through sixth.,Doesn't it get noisy?,I like the noise.,,,
M0570,I slept very well.,That's strange. Nobody is supposed to sleep well in Casablanca.,May we proceed with the business?,,,
M0571,"Oh, yes.",Tell him I won't be able to see him for a half an hour.,,,,
M0572,"We failed to mention the mower guy's a drunk, that he was after more beer and never really saw Kelly go into the house, so he can't say how long she was in there.  Same with the kids.  They saw her running down the street, but that's it.  With no physical evidence, what do we have?  Her word against his.",You're telling me you believe the guy?,"All I'm saying is, we let Sandra Van Ryan push us too hard, we're going to wind up looking stupid.",,,
M0573,"I don't know. It's all been like a crazy nightmare, Mr. Dickson.",What happened?  You're not a thief. How'd you get mixed up with these kind of people?,Gambling - I owed them a lot of money. Last week I lost over fifty thousand dollars!,,,
M0574,,Been waiting long?,It's not how long you wait - it's who you're waiting for.,,,
M0575,I look like some hoochie to you?  I found it on your floor.,What are you doing in my room?,,,,
M0576,"Look, John. Something terribly important's happened. They're forming John Doe Clubs. We know of eight already and they say that there's going",John Doe Clubs? What for?,Uh-huh. To carry out the principles you talked about in your radio speech.,,,
M0577,Are you joking?,"Don't think that I want to save myself from any embarrassment, from the awkwardness of meeting Anna... It's not that; it's that you can say certain things easier if you're alone. Please, Sandro, do try to understand me... It would look like I was trying to influence you, to force you, to control you... and that makes me feel uncomfortable...",,,,
M0578,,"Oh no, you're not. You've gone too far this time ... and who's paying for all this?",It's all taken care of. It's down on our bill.,,,
M0579,,"Elaine, what happened to us?","Ted, I loved you and I'll always love you. But I need Simon.  He's stable.  He's a good provider.  I want that at this stage of the game, Ted.  He might have his faults, but Simon doesn't know the meaning of the word fear and I need that in a man.",,,
M0580,"Well... let's say she thinks only about you, anyway...",How do you mean that?,,,,
M0581,How do I know you don't want to blow up a factory?,What for... why?,Or a tunnel or a bridge...,,,
M0582,You don't care if I die,"Sure, I do",Why?,,,
M0583,"Buddy, I am wandering in a wilderness, lost.  I just feel awful. Do you mind if I get in bed with you for a little while?","Well, all right.",,,,
M0584,,"I don't know anything about bodies!  I mean, he didn't bring it home.  He was good to me... sometimes.  He was sweet. He took care of me.  Who am I supposed to go out with?  He owns a casino.  He let me sing.",He didn't do you a favor.,,,
M0585,"Right. Hal, tell me whether the following statements are true or false.","I will if I can, Frank.",Our Mission Profile calls for Discovery going to Saturn. True or false?,,,
M0586,He's being arraigned tomorrow.,I read about it in the paper.,,,,
M0587,,He's just exhausted.,That man is your father?!?,,,
M0588,,"If you had half the brains you're supposed to have, you'd have done it yourselflong ago.",Do you love her?,,,
M0589,I don't know. They didn't answer.,I was told there were only two men there.,,,,
M0590,,What have you done about Irving August?,"Oh, I'm making investigations.",,,
M0591,You don't like Moore? Since when?,It's not that I don't like him. But the wedding has really got me thinking and... I just keep myself opening up. Crowning. And I want you keeping up with me here.,What does Moore have to do with your growing?,,,
M0592,"She's a grown-up, she can handle it.",I just... Ann is very...,Hung up.,,,
M0593,"Don't you think, do you still think it's a good idea to press this custody thing -- just now?","I'm her father -- supposed to be, but I'm not able to. Yes. Yes, I am. It may be the only thing in my life I've been so clear about wanting. Even if it takes a big fight.",Then... I guess you have to.,,,
M0594,,How did he die?,He was murdered.,,,
M0595,,"We're not exactly strangers, Mary. Jacqueline spoke about you often. I suppose she told you about me,",No...At the morgue they told me a Mr. Gregory Ward had made inquiries about Jacqueline.,,,
M0596,,Now what kind of a crack is that?,No crack. Two packs of cigarettes say they don't get out of the forest.,,,
M0597,That's okay. I should've told you I wouldn't be in uniform.,"Yeah, it would've helped. Have you gotta cigarette Father?",,,,
M0598,To get my car.,Wait.  What about . . . him?,Put some clothes on him.  When I get back We'll load him in the trunk and dump him in the desert.  It'll takes days for anybody to find him.,,,
M0599,,Lucy; come back!,Somebody's gotta do something!!,,,
M0600,Where do you live?,"Orange, New Jersey.","Got a couple of kids, huh?",,,
M0601,The colored vote happens to be very important to the Mayor of this town.,Especially with an election coming up in a few days.,,,,
M0602,"Good morning. I worried about you, last night. You shouldn't have run like that.",I... suddenly felt such a fool.,I wanted to drive you home. Are you all right?,,,
M0603,What about the other boys--Do you think they'll go to the police?,What's that got to do with it?,Why should you be the only one.,,,
M0604,Thurman Munson.  He was covered with dirt and he was fighting with everybody--it was beautiful ...  And he called the ump a cocksucker and got thrown out of the game even though it was an exhibition!  So I stayed in the bleachers all spring and gradually came to understand what's so great about baseball.,What's so great about baseball?,"If you know where home plate is, then you know where 1st base is, and 2nd, and everything else-- 'cause they're always in the same place in relation to home.  Don't you see?  If you know where home plate is, then you know where everything else in the universe is!",,,
M0605,"Oh my G-d, how embarrassing were they? I wanted to shoot myself.","Oh, they weren't that bad.  I mean, they were kind of cute.",Promise me that we'll never be like them.  I don't want to wind up like that.,,,
M0606,,Were you going to make a suggestion?,Yes. I was going to tell you to look into your own heart -- do you really want to find your sister?,,,
M0607,"Wonderful ... But tomorrow morning, if you should wake out of your dreams and hear a knock, and the door opens, and there, instead of a maid with a breakfast tray, stands a policeman with a warrant--then you'll be glad you're alone.",But it could have been glorious.,Lovely.,,,
M0608,,"What is it, David Lee?","Listen, Mama...",,,
M0609,,"And you went home unannounced, too?",I dunno.  Yeah!  Yeah!  Yeah!  I did.,,,
M0610,"Hello, Louis.","How extravagant you are, throwing away women like that. Someday they may be scarce.",,,,
M0611,Marty...,Ma! Leave me alone!,,,,
M0612,It's 2041...,Exactly. The ship's internal clock is off by seven years.,,,,
M0613,"Uh, losers!  All losers!",You're too demanding.,"You know, I could always tell what you thought of me by the type of men you fixed me up with!",,,
M0614,It came out of me.,Did you know what was going to come out?,Yes.,,,
M0615,"You are young. You don't understand the attraction of great power, and you forget the pain of long waiting.",Then we must reach her before she feels that pain.,Yes.,,,
M0616,Did we just - <u>hit</u> something?,I don't think so.,Are you okay??,,,
M0617,,"In conclusion... it should be noted that more than common injury to the nerve roots is always serious, because... once a nerve fibber is severed... there is no way to regenerate life back into it.  Are there any more questions before we leave?",Dr. Fronkonsteen!,,,
M0618,"What's the -- hey, Liz --","-- No, no, no, don't even.  I talked to Laura, Rob.  I talked to her and she gave me a little background. And you're a fucking ASSHOLE.",,,,
M0619,Yes.,Then you go to the left. There's a landing.,Yes.,,,
M0620,Do you call it a game when only one man win each time? I think you call it a damn shame.,Word wit'cha. In private.,,,,
M0621,,"Hello, Mr. Leland.","Hello, Bernstein.",,,
M0622,,"NY Times, Washington Post, War, War, War.  Times got the girlscout page twelve, Post in Section Two.... Horses in Mid-Stream...?",I don't think you're gonna need it.,,,
M0623,No beauty...,Just the beast.,,,,
M0624,How do you know there is a Grand Hotel?,"Oh, there must be one in Paris... They have everything in Paris.",,,,
M0625,What do you mean 'We...?',It's my charter. My party.,"All right, Commissioner. But when we're on my ship, I am Master, Mate and Pilot. And I want him...  ...along for ballast.",,,
M0626,,"""Will be back in four weeks""--  --that saves you eighty cents right there!",That's right--here's the eighty cents for you. I'd rather see you get it than the company--send it right off.,,,
M0627,Exactly!  Fucking ex-actly!,You haven't even seen it!,Nor have you!,,,
M0628,Promise you'll turn around if you get tired.,I will.  Bye.,,,,
M0629,No!  Don't go.,They'll come for me right away if I'm not there.  I have to go.,Don't take anything.,,,
M0630,I sort of already have.,"Well, of course. Your old D-A-D! You know I'll always be there to love and support you, no matter what kind of pickle you're in.",,,,
M0631,,"Well... well, is everyone all right?","I think he got a little scratch, Mother.",,,
M0632,I don't like it!,We'll take it! Will it fit?,,,,
M0633,Do any pupils come to the house?,Not that I've seen.,Then how does he pay for all this? Does he work at all?,,,
M0634,"So what're we gonna do. That's the big question, right?",A salvage claim to a vessel's cargo's as valid as a claim to the vessel itself. It's ours.,"Then we're rich. We're damn, filthy stinking rich.",,,
M0635,What's this?,"A puff-up, I call it.  But Miss Jessica always says ""brioche.""",Looks like an awful lot of breakfast -- I don't know whether I'll be able to get away with it.,,,
M0636,What are you doing fooling around in here?,"Miss Schuyler - I mean, Mrs. Smith - she engaged me this morning, sir.",,,,
M0637,I don't trust anyone.,Then show me how.,,,,
M0638,You needn't worry. It's over and done with. A long time ago.,Annie -- there's nothing between Mitch and me.,Isn't there?  Maybe there isn't. Maybe there's never anything between Mitch and any girl.,,,
M0639,,"So, call me when you --","Whoa, whoa, whoa! Hang on a second there, baby. Why do you need one of the new Buicks?",,,
M0640,Who said Sidney?,I said Sidney!...,,,,
M0641,"There you are. Take some cake, why don't you?","No, thank you.","One little piece of cake won't hurt you. Go ahead, take one. It's full of fruit...citron, cherries and ginger. It'll make you dream. Yes, wonderful dreams.",,,
M0642,That's all right -- our men can ride your horses.,"Not a bad idea.  If our horses get tired they can ride your men for a change.  Now, I don't mind letting you have our horses, but you must promise to put them through their maneuvers.","Oh, sure.  We have horse maneuvers every morning.",,,
M0643,,When did he lapse into the coma?,Sometime yesterday morning.,,,
M0644,"Well, that's all. You will see. Today, tomorrow, inna week, he's gonna say to you, ""Hey, Ma, it's no good being a single man. I'm tired-a running around."" Then he's gonna say, ""Hey, Ma, wadda we need this old house? Why don't we sell this old house, move into a nicer parta town? A nice little apartment?""","I don't sell this house, I tell you that. This is my husband's house. I had six children in this house.","You will see. A coupla months, you gonna be an old lady, sleeping onna couch in her daughter-in-law's house.",,,
M0645,All right? That's wonderful! It's the Majestic -- 44th Street.,Meet you in the lobby. Okay?,,,,
M0646,,Do you really not believe in God?,"It's okay, there's a lot of things I don't believe in...",,,
M0647,"Yeah, right. You can't get enough of me.",Typically male point of view.,How do you figure?,,,
M0648,Hannah and I...can't have any children.  Now I-I-I don't want to get into whose fault it--  It's my fault that we can't and- and-and the details are too embarrassing to--,W-w-we-we've decided after a lot of discussion that we-we'd try with artificial insemination.,,,,
M0649,"You know hed have had him killed, dont you? Does a conscience still burn somewhere inside your sore mind, Deborah? Or is it just cold expediency? Could the boy perhaps come in useful when and if the day ever comes for you to face up to the man you married?",Have you finished?,"When did you learn about his taste for kids, huh? On your honeymoon? Or was it later, when bitterness set in and you turned against your beloved but weak little brother? How did you find out? Did he confess? Try to convert you perhaps? Or was it womans intuition? Or just the way he fucked you?",,,
M0650,"Okay, fellows.","Take it easy, John Doe.",,,,
M0651,,The Collected Works of Alfred Biedermeyer,Her favorite poet.,,,
M0652,"That's wonderful, Mom.",What's a revival tent?,It's a place where religious people--,,,
M0653,"Why, Daddy; you won't be here?",Just do like I tell you -- I'll get word to you through the visitin' preacher.,,,,
M0654,,I'm only half human.,"Deanna Troi of Betazed. Empathic and telepathic abilities, ship's counselor. All of this I knew... But I didn't know you were so beautiful.",,,
M0655,Anita!,"Look. You're way under 30, you're cute, some guys find white Carter's underwear sexy  If you talk to his nose, you don't even notice the eye.",,,,
M0656,"-- oh, sure. A hairdresser. How... how do you a... meet a hairdresser?",Getting your hair done...  Would you like to go to a party?,Not with your hairdresser.,,,
M0657,"I love that youre asking questions, but do you really want to get into all of this?",This is awkward for me.  Talking about it makes me feel better.,,,,
M0658,"...At the hour of midnight, down the road that goes through Sleepy Hollow, across the bridge, he goes galloping, galloping, always searching, always seeking","Come away, Amy.",,,,
M0659,Not great.,"What's that, not great?",The doctor'll be back in a minute.,,,
M0660,Whoa -- wait a minute. We can't leave Williams here. One of the other fellows'll --,We're going to take him over to my private office.  Where's our phone?,That one -- how you gonna take him? They'll see him.,,,
M0661,,"That's fine, Numa, but what about all the people who aren't writing letters.  They're sitting home reading all these lies.  I just heard NBC crew's in town to do a ""White Paper"" - not on the Kennedy killing, but on us.  One of their top guys, Harry Stoner, is talking to everybody he can find about you, boss...","Oh Jesus, Stoner!... Why doesn't he call me?",,,
M0662,Maybe she's with Josh?,Josh!? Why would she be with Josh?,I don't know.,,,
M0663,,"Don't test me, I'm real prepared to use this to stay alive --",-- confirming everything we already know --,,,
M0664,,"Tomorrow?  Oh, but I want to go home now.",You've had plenty of time already!,,,
M0665,It always seemed to me she was sort of lonely and unhappy.,I guess most people are.,,,,
M0666,"Then maybe I saw an old message. There are a lot of them on my desk, you know.",Who'd you have lunch with?,I ate by myself.,,,
M0667,"You'll never get away with it, Miss Andrews. Your father'll stop you before you get half way to New York.",You must have me confused with,"Quit kidding!  It's all over the front pages, You know, I've always been curious about the kind of a girl that would marry King Westley.",,,
M0668,"As far as I'm concerned, I think she's alive... Why, even this morning... that business about the shark... it wasn't at all true.",And why do you tell us this only now?,I... I don't know... I didn't think it was worthwhile... She was laughing over it...,,,
M0669,I dig.,So what's it going to be?,,,,
M0670,No. He wants him back. He'll be by tomorrow.,Okay by me.,,,,
M0671,,"That was beautiful, Robert. I'm surprised...",Thank you.,,,
M0672,What can I do? I am only a boy.,You are the man who wrote this letter. You are the man who has come back to lead us. You will soon have great responsibilities. You must know what to do.,,,,
M0673,"Your responsibility, Dad, is to present the facts, not your opinions, to the men... you're gonna destroy their lives, Dad! Don't do it to 'em. Give it a chance. Let the membership decide for themselves, Dad. Please.","I'll be damned that when my men come to me tomorrow morning, wanting to know what's going on, I'm going to lie to them!","Your men! All my life ""your men"" have been able to count on you? Why is it that you've never been there for me?",,,
M0674,,Do you like them?,Got my initials on them too. They're cute. They're nice little things - what do you do with them?,,,
M0675,Thursday.,Yes. Don't worry. Everything will be all right.,,,,
M0676,,I don't know. I want to see Robles.,What do you want to see him for?,,,
M0677,Sam. He said an hour. Or less.,It's been three.,Are we just going to go on sitting here?,,,
